"Plot Title: 10767519"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10767519, SEN S/N: 10767519)","Coupler Detached (LGR S/N: 10767519, SEN S/N: 10767519)","Coupler Attached (LGR S/N: 10767519, SEN S/N: 10767519)","Stopped (LGR S/N: 10767519, SEN S/N: 10767519)","End Of File (LGR S/N: 10767519, SEN S/N: 10767519)"
328,05/20/19 03:00:00 AM,13.858,,,,
329,05/20/19 04:00:00 AM,13.642,,,,
330,05/20/19 05:00:00 AM,13.425,,,,
331,05/20/19 06:00:00 AM,13.233,,,,
332,05/20/19 07:00:00 AM,13.040,,,,
333,05/20/19 08:00:00 AM,12.920,,,,
334,05/20/19 09:00:00 AM,12.751,,,,
335,05/20/19 10:00:00 AM,12.751,,,,
336,05/20/19 11:00:00 AM,12.992,,,,
337,05/20/19 12:00:00 PM,13.305,,,,
338,05/20/19 01:00:00 PM,13.594,,,,
339,05/20/19 02:00:00 PM,13.858,,,,
340,05/20/19 03:00:00 PM,14.194,,,,
341,05/20/19 04:00:00 PM,14.816,,,,
342,05/20/19 05:00:00 PM,15.223,,,,
343,05/20/19 06:00:00 PM,15.366,,,,
344,05/20/19 07:00:00 PM,15.390,,,,
345,05/20/19 08:00:00 PM,15.390,,,,
346,05/20/19 09:00:00 PM,15.342,,,,
347,05/20/19 10:00:00 PM,15.270,,,,
348,05/20/19 11:00:00 PM,15.175,,,,
349,05/21/19 12:00:00 AM,15.008,,,,
350,05/21/19 01:00:00 AM,14.792,,,,
351,05/21/19 02:00:00 AM,14.553,,,,
352,05/21/19 03:00:00 AM,14.314,,,,
353,05/21/19 04:00:00 AM,14.074,,,,
354,05/21/19 05:00:00 AM,13.858,,,,
355,05/21/19 06:00:00 AM,13.618,,,,
356,05/21/19 07:00:00 AM,13.425,,,,
357,05/21/19 08:00:00 AM,13.281,,,,
358,05/21/19 09:00:00 AM,13.257,,,,
359,05/21/19 10:00:00 AM,13.257,,,,
360,05/21/19 11:00:00 AM,13.329,,,,
361,05/21/19 12:00:00 PM,13.546,,,,
362,05/21/19 01:00:00 PM,13.762,,,,
363,05/21/19 02:00:00 PM,13.978,,,,
364,05/21/19 03:00:00 PM,14.242,,,,
365,05/21/19 04:00:00 PM,14.649,,,,
366,05/21/19 05:00:00 PM,15.103,,,,
367,05/21/19 06:00:00 PM,15.509,,,,
368,05/21/19 07:00:00 PM,15.748,,,,
369,05/21/19 08:00:00 PM,15.867,,,,
370,05/21/19 09:00:00 PM,15.891,,,,
371,05/21/19 10:00:00 PM,15.843,,,,
372,05/21/19 11:00:00 PM,15.748,,,,
373,05/22/19 12:00:00 AM,15.581,,,,
374,05/22/19 01:00:00 AM,15.366,,,,
375,05/22/19 02:00:00 AM,15.127,,,,
376,05/22/19 03:00:00 AM,14.864,,,,
377,05/22/19 04:00:00 AM,14.625,,,,
378,05/22/19 05:00:00 AM,14.409,,,,
379,05/22/19 06:00:00 AM,14.194,,,,
380,05/22/19 07:00:00 AM,14.002,,,,
381,05/22/19 08:00:00 AM,13.906,,,,
382,05/22/19 09:00:00 AM,13.930,,,,
383,05/22/19 10:00:00 AM,14.050,,,,
384,05/22/19 11:00:00 AM,14.170,,,,
385,05/22/19 12:00:00 PM,14.601,,,,
386,05/22/19 01:00:00 PM,14.960,,,,
387,05/22/19 02:00:00 PM,15.270,,,,
388,05/22/19 03:00:00 PM,15.772,,,,
389,05/22/19 04:00:00 PM,22.489,,,,
390,05/22/19 05:00:00 PM,31.765,,,,
391,05/22/19 06:00:00 PM,27.358,,,,
392,05/22/19 07:00:00 PM,25.065,,,,
393,05/22/19 08:00:00 PM,27.431,,,,
394,05/22/19 09:00:00 PM,26.451,,,,
395,05/22/19 10:00:00 PM,25.113,,,,
396,05/22/19 11:00:00 PM,23.569,,,,
397,05/23/19 12:00:00 AM,21.915,,,,
398,05/23/19 01:00:00 AM,20.174,,,,
399,05/23/19 02:00:00 AM,18.485,,,,
400,05/23/19 03:00:00 AM,16.939,,,,
401,05/23/19 04:00:00 AM,15.533,,,,
402,05/23/19 05:00:00 AM,14.385,,,,
